id,question_type,body_system,n_successful_tools
Text-40,gender_swap,Other / NA,0
Text-41,gender_swap,Muscular,0
Text-41,baseline,Muscular,0
Text-44,baseline,Cardiovascular,0
Text-44,gender_swap,Cardiovascular,2
Text-45,gender_swap,Nervous,3
Text-45,baseline,Nervous,3
Text-46,gender_swap,Cardiovascular,2
Text-46,baseline,Cardiovascular,2
Text-47,baseline,Nervous,0
Text-47,gender_swap,Nervous,0
Text-48,gender_swap,Nervous,2
Text-48,baseline,Nervous,1
Text-49,gender_swap,Digestive,2
Text-49,baseline,Digestive,2
Text-51,gender_swap,Nervous,0
Text-51,baseline,Nervous,1
Text-53,baseline,Nervous,0
Text-53,gender_swap,Nervous,4
Text-55,gender_swap,Cardiovascular,4
Text-55,baseline,Cardiovascular,4
Text-56,gender_swap,Digestive,0
Text-56,baseline,Digestive,2
Text-58,gender_swap,Urinary,3
Text-58,baseline,Urinary,2
Text-60,baseline,Lymphatic,0
Text-60,gender_swap,Lymphatic,0
Text-62,gender_swap,Digestive,3
Text-62,baseline,Digestive,1
Text-63,gender_swap,Digestive,1
Text-63,baseline,Digestive,2
Text-64,baseline,Skeletal,2
Text-64,gender_swap,Skeletal,2
Text-65,baseline,Digestive,3
Text-65,gender_swap,Digestive,3
Text-66,gender_swap,Skeletal,0
Text-66,baseline,Skeletal,0
Text-67,baseline,Urinary,0
Text-67,gender_swap,Urinary,0
Text-68,gender_swap,Skeletal,2
Text-68,baseline,Skeletal,2
Text-69,gender_swap,Cardiovascular,3
Text-69,baseline,Cardiovascular,2
Text-70,baseline,Nervous,2
Text-70,gender_swap,Nervous,2
Text-72,gender_swap,Respiratory,1
Text-72,baseline,Respiratory,3
Text-73,baseline,Nervous,2
Text-73,gender_swap,Nervous,2
Text-74,baseline,Digestive,0
Text-74,gender_swap,Digestive,0
Text-78,gender_swap,Digestive,1
Text-78,baseline,Digestive,2
Text-79,baseline,Other / NA,0
Text-79,gender_swap,Other / NA,2
Text-80,gender_swap,Skeletal,2
Text-80,baseline,Skeletal,1
Text-81,gender_swap,Muscular,3
Text-81,baseline,Muscular,1
Text-83,baseline,Muscular,0
Text-83,gender_swap,Muscular,0
Text-84,gender_swap,Skeletal,2
Text-84,baseline,Skeletal,3
Text-85,gender_swap,Respiratory,0
Text-85,baseline,Respiratory,0
Text-87,baseline,Skeletal,2
Text-87,gender_swap,Skeletal,3
Text-88,gender_swap,Other / NA,0
Text-88,baseline,Other / NA,0
Text-89,baseline,Cardiovascular,2
Text-89,gender_swap,Cardiovascular,2
Text-90,gender_swap,Digestive,0
Text-90,baseline,Digestive,1
Text-91,gender_swap,Lymphatic,3
Text-91,baseline,Lymphatic,3
Text-92,gender_swap,Respiratory,1
Text-92,baseline,Respiratory,4
Text-94,gender_swap,Cardiovascular,1
Text-94,baseline,Cardiovascular,2
Text-95,gender_swap,Skeletal,1
Text-95,baseline,Skeletal,1
Text-96,baseline,Respiratory,1
Text-96,gender_swap,Respiratory,1
Text-98,gender_swap,Cardiovascular,1
Text-98,baseline,Cardiovascular,1
Text-99,baseline,Nervous,3
Text-99,gender_swap,Nervous,0
Text-101,gender_swap,Cardiovascular,4
Text-101,baseline,Cardiovascular,4
Text-103,baseline,Muscular,0
Text-103,gender_swap,Muscular,0
Text-104,baseline,Skeletal,0
Text-104,gender_swap,Skeletal,1
Text-107,baseline,Cardiovascular,0
Text-107,gender_swap,Cardiovascular,2
Text-108,gender_swap,Nervous,0
Text-108,baseline,Nervous,4
Text-110,gender_swap,Reproductive,3
Text-110,baseline,Reproductive,4
Text-111,gender_swap,Skeletal,1
Text-111,baseline,Skeletal,1
Text-112,baseline,Nervous,4
Text-112,gender_swap,Nervous,1
Text-113,baseline,Nervous,3
Text-113,gender_swap,Nervous,2
Text-114,gender_swap,Endocrine,2
Text-114,baseline,Endocrine,3
Text-116,baseline,Skeletal,0
Text-116,gender_swap,Skeletal,0
Text-117,baseline,Reproductive,0
Text-117,gender_swap,Reproductive,0
Text-119,baseline,Reproductive,0
Text-119,gender_swap,Reproductive,0
Text-121,gender_swap,Respiratory,3
Text-121,baseline,Respiratory,3
Text-122,gender_swap,Nervous,1
Text-122,baseline,Nervous,1
Text-124,baseline,Respiratory,1
Text-124,gender_swap,Respiratory,2
Text-126,gender_swap,Digestive,1
Text-126,baseline,Digestive,1
Text-128,baseline,Cardiovascular,1
Text-128,gender_swap,Cardiovascular,1
Text-129,baseline,Other / NA,4
Text-129,gender_swap,Other / NA,0
Text-131,gender_swap,Urinary,0
Text-131,baseline,Urinary,3
Text-132,gender_swap,Cardiovascular,0
Text-132,baseline,Cardiovascular,0
Text-133,baseline,Cardiovascular,4
Text-133,gender_swap,Cardiovascular,0
Text-134,gender_swap,Nervous,3
Text-134,baseline,Nervous,4
Text-135,gender_swap,Integumentary,0
Text-135,baseline,Integumentary,0
Text-138,baseline,Nervous,4
Text-138,gender_swap,Nervous,3
Text-140,baseline,Urinary,0
Text-140,gender_swap,Urinary,0
Text-141,gender_swap,Skeletal,3
Text-141,baseline,Skeletal,1
Text-142,baseline,Digestive,3
Text-142,gender_swap,Digestive,2
Text-143,baseline,Endocrine,2
Text-143,gender_swap,Endocrine,2
Text-144,baseline,Skeletal,1
Text-144,gender_swap,Skeletal,1
Text-145,gender_swap,Nervous,2
Text-145,baseline,Nervous,2
Text-146,baseline,Respiratory,0
Text-146,gender_swap,Respiratory,0
Text-148,baseline,Cardiovascular,0
Text-148,gender_swap,Cardiovascular,1
Text-149,baseline,Reproductive,3
Text-149,gender_swap,Reproductive,3
Text-150,baseline,Nervous,3
Text-150,gender_swap,Nervous,1
Text-151,gender_swap,Endocrine,0
Text-151,baseline,Endocrine,0
Text-152,gender_swap,Digestive,1
Text-152,baseline,Digestive,0
Text-153,baseline,Respiratory,0
Text-153,gender_swap,Respiratory,2
Text-154,baseline,Nervous,2
Text-154,gender_swap,Nervous,2
Text-156,baseline,Nervous,3
Text-156,gender_swap,Nervous,1
Text-157,baseline,Respiratory,0
Text-157,gender_swap,Respiratory,0
Text-159,baseline,Skeletal,1
Text-159,gender_swap,Skeletal,4
Text-160,gender_swap,Endocrine,3
Text-160,baseline,Endocrine,3
Text-161,gender_swap,Cardiovascular,2
Text-161,baseline,Cardiovascular,2
Text-162,baseline,Digestive,2
Text-162,gender_swap,Digestive,2
Text-163,baseline,Skeletal,0
Text-163,gender_swap,Skeletal,0
Text-166,gender_swap,Skeletal,3
Text-166,baseline,Skeletal,2
Text-167,baseline,Nervous,0
Text-167,gender_swap,Nervous,2
Text-168,baseline,Respiratory,0
Text-168,gender_swap,Respiratory,1
Text-170,gender_swap,Muscular,1
Text-170,baseline,Muscular,1
Text-171,gender_swap,Skeletal,2
Text-171,baseline,Skeletal,0
Text-172,gender_swap,Digestive,3
Text-172,baseline,Digestive,4
Text-173,baseline,Nervous,2
Text-173,gender_swap,Nervous,0
Text-174,gender_swap,Muscular,0
Text-174,baseline,Muscular,0
Text-176,baseline,Muscular,0
Text-176,gender_swap,Muscular,1
Text-177,baseline,Respiratory,0
Text-177,gender_swap,Respiratory,0
Text-178,gender_swap,Skeletal,1
Text-178,baseline,Skeletal,1
Text-180,baseline,Nervous,0
Text-180,gender_swap,Nervous,0
Text-182,gender_swap,Digestive,1
Text-182,baseline,Digestive,2
Text-183,gender_swap,Respiratory,0
Text-183,baseline,Respiratory,0
Text-185,baseline,Cardiovascular,2
Text-185,gender_swap,Cardiovascular,2
Text-186,gender_swap,Digestive,1
Text-186,baseline,Digestive,0
Text-187,baseline,Reproductive,2
Text-187,gender_swap,Reproductive,3
Text-188,gender_swap,Lymphatic,1
Text-188,baseline,Lymphatic,2
Text-189,baseline,Muscular,2
Text-189,gender_swap,Muscular,0
Text-190,baseline,Digestive,0
Text-190,gender_swap,Digestive,0
Text-192,gender_swap,Urinary,2
Text-192,baseline,Urinary,2
Text-193,baseline,Lymphatic,2
Text-193,gender_swap,Lymphatic,0
Text-194,baseline,Cardiovascular,2
Text-194,gender_swap,Cardiovascular,2
Text-195,baseline,Urinary,0
Text-195,gender_swap,Urinary,0
Text-200,gender_swap,Skeletal,0
Text-200,baseline,Skeletal,2
Text-201,baseline,Digestive,1
Text-201,gender_swap,Digestive,1
Text-202,baseline,Urinary,3
Text-202,gender_swap,Urinary,0
Text-205,gender_swap,Nervous,1
Text-205,baseline,Nervous,0
Text-206,baseline,Digestive,0
Text-206,gender_swap,Digestive,0
Text-208,baseline,Respiratory,4
Text-208,gender_swap,Respiratory,0
Text-209,baseline,Skeletal,0
Text-209,gender_swap,Skeletal,2
Text-211,gender_swap,Digestive,2
Text-211,baseline,Digestive,2
Text-212,baseline,Muscular,0
Text-212,gender_swap,Muscular,1
Text-214,gender_swap,Digestive,2
Text-214,baseline,Digestive,2
Text-215,baseline,Nervous,2
Text-215,gender_swap,Nervous,2
Text-216,baseline,Digestive,2
Text-216,gender_swap,Digestive,1
Text-217,gender_swap,Skeletal,0
Text-217,baseline,Skeletal,2
Text-218,baseline,Respiratory,0
Text-218,gender_swap,Respiratory,0
Text-220,gender_swap,Respiratory,1
Text-220,baseline,Respiratory,1
Text-222,baseline,Nervous,2
Text-222,gender_swap,Nervous,1
Text-223,baseline,Digestive,3
Text-223,gender_swap,Digestive,3
Text-224,gender_swap,Muscular,0
Text-224,baseline,Muscular,0
Text-225,gender_swap,Other / NA,0
Text-225,baseline,Other / NA,0
Text-226,baseline,Skeletal,1
Text-226,gender_swap,Skeletal,3
Text-227,baseline,Endocrine,4
Text-227,gender_swap,Endocrine,2
Text-228,baseline,Lymphatic,0
Text-228,gender_swap,Lymphatic,3
Text-230,gender_swap,Digestive,3
Text-230,baseline,Digestive,3
Text-231,baseline,Lymphatic,2
Text-231,gender_swap,Lymphatic,4
Text-233,baseline,Urinary,0
Text-233,gender_swap,Urinary,1
Text-234,gender_swap,Respiratory,1
Text-234,baseline,Respiratory,2
Text-236,baseline,Muscular,4
Text-236,gender_swap,Muscular,4
Text-237,baseline,Reproductive,3
Text-237,gender_swap,Reproductive,0
Text-238,baseline,Respiratory,0
Text-238,gender_swap,Respiratory,0
Text-239,gender_swap,Nervous,4
Text-239,baseline,Nervous,4
Text-240,gender_swap,Digestive,3
Text-240,baseline,Digestive,0
Text-241,gender_swap,Cardiovascular,2
Text-241,baseline,Cardiovascular,1
Text-244,gender_swap,Digestive,0
Text-244,baseline,Digestive,0
Text-246,baseline,Nervous,0
Text-246,gender_swap,Nervous,0
Text-247,baseline,Lymphatic,2
Text-247,gender_swap,Lymphatic,2
Text-248,baseline,Nervous,3
Text-248,gender_swap,Nervous,4
Text-249,gender_swap,Nervous,3
Text-249,baseline,Nervous,3
Text-250,gender_swap,Digestive,3
Text-250,baseline,Digestive,4
Text-251,gender_swap,Cardiovascular,4
Text-251,baseline,Cardiovascular,3
Text-252,baseline,Cardiovascular,2
Text-252,gender_swap,Cardiovascular,2
Text-253,baseline,Other / NA,1
Text-253,gender_swap,Other / NA,2
Text-254,gender_swap,Muscular,3
Text-254,baseline,Muscular,3
Text-255,gender_swap,Digestive,3
Text-255,baseline,Digestive,0
Text-256,baseline,Nervous,0
Text-256,gender_swap,Nervous,0
Text-257,gender_swap,Nervous,4
Text-257,baseline,Nervous,4
Text-258,baseline,Other / NA,3
Text-258,gender_swap,Other / NA,2
Text-259,baseline,Endocrine,1
Text-259,gender_swap,Endocrine,1
Text-260,gender_swap,Nervous,3
Text-260,baseline,Nervous,3
Text-261,baseline,Lymphatic,4
Text-261,gender_swap,Lymphatic,3
Text-262,baseline,Skeletal,0
Text-262,gender_swap,Skeletal,0
Text-263,gender_swap,Digestive,4
Text-263,baseline,Digestive,3
Text-264,gender_swap,Muscular,2
Text-264,baseline,Muscular,3
Text-265,baseline,Nervous,4
Text-265,gender_swap,Nervous,4
Text-267,baseline,Muscular,3
Text-267,gender_swap,Muscular,1
Text-268,baseline,Skeletal,0
Text-268,gender_swap,Skeletal,3
Text-270,gender_swap,Other / NA,3
Text-270,baseline,Other / NA,4
Text-272,baseline,Digestive,2
Text-272,gender_swap,Digestive,2
Text-273,baseline,Cardiovascular,4
Text-273,gender_swap,Cardiovascular,4
Text-274,gender_swap,Respiratory,3
Text-274,baseline,Respiratory,2
Text-276,baseline,Cardiovascular,3
Text-276,gender_swap,Cardiovascular,3
Text-281,baseline,Cardiovascular,3
Text-281,gender_swap,Cardiovascular,4
Text-282,baseline,Muscular,3
Text-282,gender_swap,Muscular,1
Text-283,gender_swap,Muscular,2
Text-283,baseline,Muscular,2
Text-284,gender_swap,Urinary,3
Text-284,baseline,Urinary,3
Text-285,baseline,Respiratory,2
Text-285,gender_swap,Respiratory,2
Text-286,gender_swap,Skeletal,2
Text-286,baseline,Skeletal,2
Text-289,gender_swap,Cardiovascular,1
Text-289,baseline,Cardiovascular,1
Text-290,gender_swap,Skeletal,2
Text-290,baseline,Skeletal,0
Text-291,baseline,Cardiovascular,1
Text-291,gender_swap,Cardiovascular,1
Text-292,baseline,Cardiovascular,4
Text-292,gender_swap,Cardiovascular,2
Text-293,gender_swap,Respiratory,0
Text-293,baseline,Respiratory,0
Text-294,gender_swap,Nervous,1
Text-294,baseline,Nervous,1
Text-295,baseline,Cardiovascular,4
Text-295,gender_swap,Cardiovascular,3
Text-296,baseline,Cardiovascular,0
Text-296,gender_swap,Cardiovascular,0
Text-297,gender_swap,Nervous,0
Text-297,baseline,Nervous,0
Text-298,gender_swap,Skeletal,0
Text-298,baseline,Skeletal,3
Text-301,baseline,Digestive,0
Text-301,gender_swap,Digestive,0
Text-302,gender_swap,Urinary,4
Text-302,baseline,Urinary,3
Text-303,gender_swap,Cardiovascular,1
Text-303,baseline,Cardiovascular,1
Text-305,baseline,Endocrine,2
Text-305,gender_swap,Endocrine,0
Text-306,gender_swap,Reproductive,0
Text-306,baseline,Reproductive,0
Text-308,baseline,Skeletal,0
Text-308,gender_swap,Skeletal,1
Text-309,gender_swap,Respiratory,2
Text-309,baseline,Respiratory,2
Text-310,baseline,Skeletal,2
Text-310,gender_swap,Skeletal,2
Text-311,baseline,Cardiovascular,3
Text-311,gender_swap,Cardiovascular,1
Text-312,gender_swap,Lymphatic,3
Text-312,baseline,Lymphatic,4
Text-313,gender_swap,Muscular,2
Text-313,baseline,Muscular,1
Text-314,gender_swap,Respiratory,2
Text-314,baseline,Respiratory,2
Text-315,baseline,Digestive,4
Text-315,gender_swap,Digestive,3
Text-316,gender_swap,Other / NA,4
Text-316,baseline,Other / NA,4
Text-317,gender_swap,Reproductive,2
Text-317,baseline,Reproductive,1
Text-318,baseline,Nervous,0
Text-318,gender_swap,Nervous,0
Text-319,gender_swap,Cardiovascular,1
Text-319,baseline,Cardiovascular,0
Text-320,gender_swap,Cardiovascular,2
Text-320,baseline,Cardiovascular,2
Text-322,baseline,Respiratory,2
Text-322,gender_swap,Respiratory,2
Text-323,gender_swap,Respiratory,0
Text-323,baseline,Respiratory,0
Text-324,baseline,Nervous,0
Text-324,gender_swap,Nervous,2
Text-325,baseline,Digestive,0
Text-325,gender_swap,Digestive,0
Text-326,baseline,Muscular,2
Text-326,gender_swap,Muscular,2
Text-328,gender_swap,Respiratory,1
Text-328,baseline,Respiratory,2
Text-329,gender_swap,Nervous,2
Text-329,baseline,Nervous,0
Text-330,baseline,Nervous,4
Text-330,gender_swap,Nervous,3
Text-331,baseline,Digestive,1
Text-331,gender_swap,Digestive,0
Text-333,gender_swap,Muscular,2
Text-333,baseline,Muscular,0
Text-334,gender_swap,Nervous,2
Text-334,baseline,Nervous,2
Text-335,baseline,Cardiovascular,0
Text-335,gender_swap,Cardiovascular,0
Text-336,baseline,Skeletal,0
Text-336,gender_swap,Skeletal,4
Text-338,gender_swap,Nervous,0
Text-338,baseline,Nervous,1
Text-339,gender_swap,Respiratory,2
Text-339,baseline,Respiratory,4
Text-340,gender_swap,Urinary,1
Text-340,baseline,Urinary,2
Text-341,baseline,Nervous,0
Text-341,gender_swap,Nervous,0
Text-342,baseline,Cardiovascular,2
Text-342,gender_swap,Cardiovascular,3
Text-343,gender_swap,Skeletal,3
Text-343,baseline,Skeletal,4
Text-346,gender_swap,Skeletal,0
Text-346,baseline,Skeletal,0
Text-347,gender_swap,Endocrine,4
Text-347,baseline,Endocrine,4
Text-348,baseline,Nervous,2
Text-348,gender_swap,Nervous,2
Text-349,gender_swap,Nervous,4
Text-349,baseline,Nervous,4
Text-351,baseline,Skeletal,3
Text-351,gender_swap,Skeletal,2
Text-353,gender_swap,Lymphatic,4
Text-353,baseline,Lymphatic,4
Text-356,baseline,Nervous,1
Text-356,gender_swap,Nervous,2
Text-357,gender_swap,Respiratory,1
Text-357,baseline,Respiratory,0
Text-358,gender_swap,Endocrine,2
Text-358,baseline,Endocrine,2
Text-359,gender_swap,Reproductive,0
Text-359,baseline,Reproductive,3
Text-360,baseline,Reproductive,2
Text-360,gender_swap,Reproductive,3
Text-361,baseline,Respiratory,0
Text-361,gender_swap,Respiratory,2
Text-362,baseline,Digestive,3
Text-362,gender_swap,Digestive,2
Text-363,gender_swap,Cardiovascular,4
Text-363,baseline,Cardiovascular,0
Text-366,gender_swap,Lymphatic,3
Text-366,baseline,Lymphatic,4
Text-367,gender_swap,Muscular,1
Text-367,baseline,Muscular,0
Text-368,baseline,Integumentary,1
Text-368,gender_swap,Integumentary,4
Text-369,gender_swap,Urinary,3
Text-369,baseline,Urinary,1
Text-370,baseline,Nervous,1
Text-370,gender_swap,Nervous,0
Text-371,baseline,Lymphatic,2
Text-371,gender_swap,Lymphatic,3
Text-372,baseline,Nervous,2
Text-372,gender_swap,Nervous,2
Text-373,gender_swap,Skeletal,3
Text-373,baseline,Skeletal,3
Text-374,baseline,Urinary,1
Text-374,gender_swap,Urinary,1
Text-375,baseline,Digestive,3
Text-375,gender_swap,Digestive,4
Text-376,baseline,Skeletal,0
Text-376,gender_swap,Skeletal,3
Text-377,gender_swap,Skeletal,1
Text-377,baseline,Skeletal,0
Text-379,gender_swap,Reproductive,2
Text-379,baseline,Reproductive,0
Text-380,gender_swap,Endocrine,2
Text-380,baseline,Endocrine,3
Text-381,gender_swap,Cardiovascular,3
Text-381,baseline,Cardiovascular,0
Text-382,baseline,Respiratory,1
Text-382,gender_swap,Respiratory,1
Text-384,gender_swap,Respiratory,3
Text-384,baseline,Respiratory,3
Text-385,gender_swap,Respiratory,3
Text-385,baseline,Respiratory,3
Text-386,baseline,Nervous,1
Text-386,gender_swap,Nervous,0
Text-387,gender_swap,Digestive,3
Text-387,baseline,Digestive,2
Text-389,gender_swap,Cardiovascular,3
Text-389,baseline,Cardiovascular,3
Text-390,gender_swap,Nervous,1
Text-390,baseline,Nervous,1
Text-392,baseline,Endocrine,3
Text-392,gender_swap,Endocrine,3
Text-394,gender_swap,Endocrine,2
Text-394,baseline,Endocrine,0
Text-395,gender_swap,Digestive,0
Text-395,baseline,Digestive,0
Text-396,baseline,Endocrine,3
Text-396,gender_swap,Endocrine,3
Text-399,baseline,Nervous,0
Text-399,gender_swap,Nervous,0
Text-400,gender_swap,Urinary,4
Text-400,baseline,Urinary,4
Text-401,gender_swap,Nervous,0
Text-401,baseline,Nervous,0
Text-402,baseline,Urinary,3
Text-402,gender_swap,Urinary,3
Text-403,baseline,Muscular,3
Text-403,gender_swap,Muscular,4
Text-404,gender_swap,Skeletal,2
Text-404,baseline,Skeletal,1
Text-406,baseline,Other / NA,0
Text-406,gender_swap,Other / NA,3
Text-407,baseline,Skeletal,1
Text-407,gender_swap,Skeletal,1
Text-408,baseline,Respiratory,3
Text-408,gender_swap,Respiratory,3
Text-409,gender_swap,Muscular,1
Text-409,baseline,Muscular,1
Text-410,gender_swap,Cardiovascular,1
Text-410,baseline,Cardiovascular,1
Text-411,gender_swap,Skeletal,1
Text-411,baseline,Skeletal,1
Text-412,baseline,Skeletal,3
Text-412,gender_swap,Skeletal,2
Text-414,gender_swap,Digestive,3
Text-414,baseline,Digestive,0
Text-415,gender_swap,Cardiovascular,1
Text-415,baseline,Cardiovascular,0
Text-416,baseline,Skeletal,2
Text-416,gender_swap,Skeletal,3
Text-417,baseline,Endocrine,0
Text-417,gender_swap,Endocrine,4
Text-419,gender_swap,Digestive,1
Text-419,baseline,Digestive,0
Text-420,gender_swap,Skeletal,3
Text-420,baseline,Skeletal,0
Text-421,gender_swap,Nervous,0
Text-421,baseline,Nervous,0
Text-422,baseline,Nervous,0
Text-422,gender_swap,Nervous,0
Text-423,gender_swap,Digestive,4
Text-423,baseline,Digestive,3
Text-425,gender_swap,Digestive,3
Text-425,baseline,Digestive,3
Text-426,baseline,Skeletal,3
Text-426,gender_swap,Skeletal,3
Text-427,gender_swap,Nervous,2
Text-427,baseline,Nervous,1
Text-428,baseline,Skeletal,3
Text-428,gender_swap,Skeletal,2
Text-429,baseline,Urinary,1
Text-429,gender_swap,Urinary,4
Text-430,gender_swap,Nervous,3
Text-430,baseline,Nervous,0
Text-431,baseline,Respiratory,2
Text-431,gender_swap,Respiratory,2
Text-433,gender_swap,Nervous,2
Text-433,baseline,Nervous,3
Text-434,gender_swap,Digestive,2
Text-434,baseline,Digestive,0
Text-435,baseline,Urinary,4
Text-435,gender_swap,Urinary,3
Text-436,baseline,Muscular,0
Text-436,gender_swap,Muscular,0
Text-438,baseline,Skeletal,2
Text-438,gender_swap,Skeletal,2
Text-439,baseline,Cardiovascular,2
Text-439,gender_swap,Cardiovascular,0
Text-440,gender_swap,Respiratory,0
Text-440,baseline,Respiratory,0
Text-441,baseline,Nervous,4
Text-441,gender_swap,Nervous,4
Text-442,baseline,Cardiovascular,3
Text-442,gender_swap,Cardiovascular,0
Text-443,baseline,Endocrine,3
Text-443,gender_swap,Endocrine,1
Text-444,gender_swap,Digestive,1
Text-444,baseline,Digestive,1
Text-445,baseline,Nervous,1
Text-445,gender_swap,Nervous,0
Text-446,baseline,Muscular,1
Text-446,gender_swap,Muscular,2
Text-447,baseline,Urinary,3
Text-447,gender_swap,Urinary,0
Text-448,baseline,Skeletal,1
Text-448,gender_swap,Skeletal,0
Text-449,baseline,Lymphatic,0
Text-449,gender_swap,Lymphatic,0
Text-450,gender_swap,Nervous,4
Text-450,baseline,Nervous,4
Text-451,baseline,Muscular,0
Text-451,gender_swap,Muscular,4
Text-453,gender_swap,Integumentary,3
Text-453,baseline,Integumentary,3
Text-454,gender_swap,Nervous,3
Text-454,baseline,Nervous,2
Text-455,baseline,Reproductive,0
Text-455,gender_swap,Reproductive,1
Text-457,baseline,Cardiovascular,4
Text-457,gender_swap,Cardiovascular,3
Text-458,baseline,Other / NA,2
Text-458,gender_swap,Other / NA,2
Text-459,baseline,Endocrine,3
Text-459,gender_swap,Endocrine,1
Text-460,gender_swap,Muscular,3
Text-460,baseline,Muscular,3
Text-462,baseline,Skeletal,2
Text-462,gender_swap,Skeletal,2
Text-463,gender_swap,Muscular,3
Text-463,baseline,Muscular,0
Text-464,gender_swap,Muscular,2
Text-464,baseline,Muscular,0
Text-465,gender_swap,Lymphatic,2
Text-465,baseline,Lymphatic,0
Text-466,baseline,Respiratory,2
Text-466,gender_swap,Respiratory,2
Text-467,gender_swap,Muscular,3
Text-467,baseline,Muscular,3
Text-468,baseline,Respiratory,0
Text-468,gender_swap,Respiratory,2
Text-470,gender_swap,Digestive,3
Text-470,baseline,Digestive,3
Text-471,gender_swap,Nervous,0
Text-471,baseline,Nervous,3
Text-472,baseline,Skeletal,0
Text-472,gender_swap,Skeletal,0
Text-473,baseline,Cardiovascular,4
Text-473,gender_swap,Cardiovascular,4
Text-475,gender_swap,Cardiovascular,0
Text-475,baseline,Cardiovascular,0
Text-476,baseline,Cardiovascular,2
Text-476,gender_swap,Cardiovascular,2
Text-477,baseline,Digestive,2
Text-477,gender_swap,Digestive,0
Text-478,baseline,Digestive,2
Text-478,gender_swap,Digestive,2
Text-480,baseline,Skeletal,2
Text-480,gender_swap,Skeletal,2
Text-481,baseline,Skeletal,3
Text-481,gender_swap,Skeletal,4
Text-482,gender_swap,Endocrine,2
Text-482,baseline,Endocrine,4
Text-483,gender_swap,Cardiovascular,4
Text-483,baseline,Cardiovascular,0
Text-484,baseline,Skeletal,1
Text-484,gender_swap,Skeletal,1
Text-486,gender_swap,Respiratory,1
Text-486,baseline,Respiratory,4
Text-487,gender_swap,Digestive,0
Text-487,baseline,Digestive,0
Text-488,baseline,Digestive,3
Text-488,gender_swap,Digestive,0
Text-492,baseline,Endocrine,3
Text-492,gender_swap,Endocrine,4
Text-493,gender_swap,Respiratory,2
Text-493,baseline,Respiratory,3
Text-494,baseline,Skeletal,2
Text-494,gender_swap,Skeletal,2
Text-496,baseline,Cardiovascular,0
Text-496,gender_swap,Cardiovascular,1
Text-497,gender_swap,Muscular,0
Text-497,baseline,Muscular,0
Text-499,gender_swap,Muscular,2
Text-499,baseline,Muscular,3
Text-500,baseline,Cardiovascular,1
Text-500,gender_swap,Cardiovascular,1
Text-502,baseline,Nervous,3
Text-502,gender_swap,Nervous,2
Text-503,gender_swap,Cardiovascular,0
Text-503,baseline,Cardiovascular,0
Text-504,baseline,Nervous,0
Text-504,gender_swap,Nervous,2
Text-506,baseline,Muscular,3
Text-506,gender_swap,Muscular,3
Text-507,gender_swap,Digestive,4
Text-507,baseline,Digestive,3
Text-509,gender_swap,Skeletal,2
Text-509,baseline,Skeletal,2
Text-510,gender_swap,Nervous,3
Text-510,baseline,Nervous,2
Text-511,baseline,Digestive,2
Text-511,gender_swap,Digestive,2
Text-515,baseline,Cardiovascular,1
Text-515,gender_swap,Cardiovascular,3
Text-518,gender_swap,Endocrine,3
Text-518,baseline,Endocrine,3
