source,condition,task,ATR,SEM,N,ATR_reference,delta_vs_Clinician-consensus,pct_delta_vs_Clinician-consensus
MedPathAgent-LLaMA,uncertain_tone,MANAGE,0.7866666666666666,0.027371634025142696,225,0.23,0.5566666666666666,242.02898550724635
MedPathAgent-LLaMA,uncertain_tone,RESOURCE,0.8088888888888889,0.02627020092785975,225,0.84,-0.03111111111111109,-3.7037037037037015
MedPathAgent-LLaMA,uncertain_tone,VISIT,0.7911111111111111,0.027161415729103133,225,0.86,-0.06888888888888889,-8.010335917312661
deepseek,baseline,MANAGE,0.27751196172248804,0.031047348519843317,209,0.2072072072072072,0.07030475451528084,33.92968587476597
deepseek,baseline,RESOURCE,0.5,0.10910894511799618,22,0.8423423423423423,-0.3423423423423423,-40.64171122994652
deepseek,baseline,VISIT,0.43661971830985913,0.05927935558412971,71,0.8423423423423423,-0.40572262403248316,-48.16600135572795
deepseek,colorful_tone,MANAGE,0.10638297872340426,0.045460360315654445,47,0.24,-0.13361702127659575,-55.67375886524823
deepseek,colorful_tone,RESOURCE,0.5454545454545454,0.1574591643244434,11,0.82,-0.27454545454545454,-33.48115299334812
deepseek,colorful_tone,VISIT,0.36,0.09797958971132713,25,0.87,-0.51,-58.62068965517242
deepseek,gender_removal,MANAGE,0.07936507936507936,0.024177057478933044,126,0.165,-0.08563492063492065,-51.8999518999519
deepseek,gender_removal,RESOURCE,0.35294117647058826,0.11947115300935235,17,0.9,-0.5470588235294118,-60.7843137254902
deepseek,gender_removal,VISIT,0.40540540540540543,0.08182838794858087,37,0.91,-0.5045945945945947,-55.44995544995545
deepseek,gender_swap,MANAGE,0.09090909090909091,0.0241247678379216,143,0.17587939698492464,-0.08497030607583372,-48.311688311688314
deepseek,gender_swap,RESOURCE,0.3888888888888889,0.11823563735376173,18,0.8743718592964824,-0.48548297040759353,-55.523627075351214
deepseek,gender_swap,VISIT,0.4,0.08401680504168059,35,0.9095477386934674,-0.5095477386934674,-56.02209944751381
deepseek,summary,MANAGE,0.2830188679245283,0.062468328640514784,53,0.4105263157894737,-0.1275074478649454,-31.059506531204644
deepseek,summary,RESOURCE,0.16666666666666666,0.16666666666666669,6,0.8736842105263158,-0.7070175438596492,-80.92369477911647
deepseek,summary,VISIT,0.0625,0.0625,16,0.8631578947368421,-0.8006578947368421,-92.75914634146342
deepseek,uncertain_tone,MANAGE,0.21951219512195122,0.06544589202438408,41,0.23,-0.01048780487804879,-4.559915164369039
deepseek,uncertain_tone,RESOURCE,0.45454545454545453,0.15745916432444335,11,0.84,-0.38545454545454544,-45.887445887445885
deepseek,uncertain_tone,VISIT,0.42857142857142855,0.13725270326150324,14,0.86,-0.43142857142857144,-50.166112956810636
medgemma,baseline,MANAGE,0.22817460317460317,0.018711525330667986,504,0.2072072072072072,0.02096739596739597,10.11904761904762
medgemma,baseline,RESOURCE,0.7578125,0.026827898476066977,256,0.8423423423423423,-0.08452984234234229,-10.035093582887693
medgemma,baseline,VISIT,0.4161490683229814,0.027512048975067805,322,0.8423423423423423,-0.4261932740193609,-50.596206862191515
medgemma,colorful_tone,MANAGE,0.031496062992125984,0.015559425512745733,127,0.24,-0.208503937007874,-86.8766404199475
medgemma,colorful_tone,RESOURCE,0.8723404255319149,0.04920290896196928,47,0.82,0.05234042553191498,6.382978723404266
medgemma,colorful_tone,VISIT,0.53125,0.06287092313773097,64,0.87,-0.33875,-38.93678160919541
medgemma,gender_removal,MANAGE,0.03359173126614987,0.009170707881533822,387,0.165,-0.13140826873385014,-79.6413749902122
medgemma,gender_removal,RESOURCE,0.6594202898550725,0.04048836646310327,138,0.9,-0.24057971014492752,-26.731078904991946
medgemma,gender_removal,VISIT,0.41346153846153844,0.0342279298527195,208,0.91,-0.4965384615384616,-54.56466610312765
medgemma,gender_swap,MANAGE,0.03089887640449438,0.009184208100134442,356,0.17587939698492464,-0.14498052058043026,-82.43178170144463
medgemma,gender_swap,RESOURCE,0.5892857142857143,0.046695106638751906,112,0.8743718592964824,-0.2850861450107681,-32.604679802955665
medgemma,gender_swap,VISIT,0.3930635838150289,0.037242495958177295,173,0.9095477386934674,-0.5164841548784385,-56.7847220004471
medgemma,summary,MANAGE,0.18951612903225806,0.02493714900061539,248,0.4105263157894737,-0.22101018675721562,-53.8358147229115
medgemma,summary,RESOURCE,0.7746478873239436,0.028695583282897875,213,0.8736842105263158,-0.09903632320237221,-11.335482776175132
medgemma,summary,VISIT,0.42342342342342343,0.03323684565567887,222,0.8631578947368421,-0.4397344713134187,-50.944847286310704
medgemma,uncertain_tone,MANAGE,0.06716417910447761,0.021704292938325036,134,0.23,-0.1628358208955224,-70.79818299805322
medgemma,uncertain_tone,RESOURCE,0.8545454545454545,0.047977139745607744,55,0.84,0.014545454545454528,1.7316017316017296
medgemma,uncertain_tone,VISIT,0.5066666666666667,0.05811865258054231,75,0.86,-0.3533333333333333,-41.08527131782945
qwen,baseline,MANAGE,0.2119205298013245,0.01176299432548042,1208,0.2072072072072072,0.004713322594117303,2.2746904693348724
qwen,baseline,RESOURCE,0.8286423841059603,0.010846300739997074,1208,0.8423423423423423,-0.013699958236382037,-1.6264121542656753
qwen,baseline,VISIT,0.7938741721854304,0.01164363030571703,1208,0.8423423423423423,-0.04846817015691185,-5.753975280660124
qwen,colorful_tone,MANAGE,0.391812865497076,0.03743979825926403,171,0.24,0.151812865497076,63.25536062378168
qwen,colorful_tone,RESOURCE,0.6081871345029239,0.03743979825926403,171,0.82,-0.211812865497076,-25.83083725574098
qwen,colorful_tone,VISIT,0.5964912280701754,0.03762738699917055,171,0.87,-0.2735087719298246,-31.437789876991335
qwen,gender_removal,MANAGE,0.16873212583412775,0.011568811534889558,1049,0.165,0.003732125834127742,2.261894444925904
qwen,gender_removal,RESOURCE,0.8388941849380362,0.011356083020979292,1049,0.9,-0.061105815061963775,-6.789535006884864
qwen,gender_removal,VISIT,0.8188751191611058,0.01189644641838424,1049,0.91,-0.09112488083889425,-10.013723169109259
qwen,gender_swap,MANAGE,0.1569713758079409,0.011059048493902332,1083,0.17587939698492464,-0.01890802117698373,-10.750560612056463
qwen,gender_swap,RESOURCE,0.8494921514312096,0.010870402594968388,1083,0.8743718592964824,-0.024879707865272827,-2.8454378535570646
qwen,gender_swap,VISIT,0.8310249307479224,0.011392124238311364,1083,0.9095477386934674,-0.078522807945545,-8.633170597327876
qwen,summary,MANAGE,0.5193548387096775,0.028422687404312138,310,0.4105263157894737,0.10882852292020379,26.509511993382972
qwen,summary,RESOURCE,0.667741935483871,0.02679556084812282,310,0.8736842105263158,-0.2059422750424449,-23.571706179556944
qwen,summary,VISIT,0.45483870967741935,0.028327743091561094,310,0.8631578947368421,-0.4083191850594228,-47.30527143981117
qwen,uncertain_tone,MANAGE,0.4,0.037139067635410375,175,0.23,0.17,73.91304347826087
qwen,uncertain_tone,RESOURCE,0.6228571428571429,0.0367428249660854,175,0.84,-0.21714285714285708,-25.850340136054417
qwen,uncertain_tone,VISIT,0.6,0.037139067635410375,175,0.86,-0.26,-30.232558139534888
