source,condition,task,PC,SEM,N,PC_reference,delta_vs_Clinician-consensus,pct_delta_vs_Clinician-consensus
GPT-4o,uncertain_tone,RESOURCE,0.07589285714285714,0.01753619447911694,224,0.16,-0.08410714285714287,-52.56696428571429
GPT-4o,uncertain_tone,VISIT,0.05803571428571429,0.016184317502628373,224,0.12,-0.06196428571428571,-51.63690476190476
LLaMA,colorful_tone,MANAGE,0.058823529411764705,0.016200648234302294,221,0.12,-0.06117647058823529,-50.98039215686274
LLaMA,colorful_tone,RESOURCE,0.049773755656108594,0.014148712983123682,221,0.12,-0.07022624434389141,-58.521870286576174
LLaMA,colorful_tone,VISIT,0.06787330316742081,0.016878443035824326,221,0.09,-0.022126696832579187,-24.585218702865767
LLaMA,gender_removal,MANAGE,0.006376811594202898,0.0018859948330315294,1725,0.08,-0.0736231884057971,-92.02898550724636
LLaMA,gender_removal,RESOURCE,0.016129032258064516,0.0030408598873312978,1736,0.085,-0.06887096774193549,-81.02466793168881
LLaMA,gender_removal,VISIT,0.010416666666666666,0.002470221108584059,1728,0.03,-0.019583333333333335,-65.27777777777779
LLaMA,gender_swap,MANAGE,0.004653868528214078,0.0015916649321931096,1719,0.09045226130653267,-0.08579839277831859,-94.85488979380777
LLaMA,gender_swap,RESOURCE,0.013872832369942197,0.002795820468974535,1730,0.06030150753768844,-0.04642867516774624,-76.99421965317919
LLaMA,gender_swap,VISIT,0.008710801393728223,0.0022227915461613974,1722,0.05025125628140704,-0.04154045488767882,-82.66550522648085
LLaMA,summary,MANAGE,0.10857142857142857,0.022682714254120852,175,0.36036036036036034,-0.2517889317889318,-69.87142857142857
LLaMA,summary,RESOURCE,0.07608695652173914,0.02073983600941696,184,0.3783783783783784,-0.30229142185663926,-79.8913043478261
LLaMA,summary,VISIT,0.0963855421686747,0.02253172276177844,166,0.43243243243243246,-0.3360468902637578,-77.71084337349399
LLaMA,uncertain_tone,MANAGE,0.08144796380090498,0.018567695294791263,221,0.15,-0.06855203619909502,-45.70135746606335
LLaMA,uncertain_tone,RESOURCE,0.07239819004524888,0.017208126817458348,221,0.16,-0.08760180995475113,-54.751131221719454
LLaMA,uncertain_tone,VISIT,0.08144796380090498,0.01843444332641948,221,0.12,-0.038552036199095016,-32.126696832579185
MedPathAgent-LLaMA,gender_swap,MANAGE,0.057777777777777775,0.015090333579820769,225,0.09045226130653267,-0.03267448352875489,-36.12345679012346
MedPathAgent-LLaMA,gender_swap,RESOURCE,0.09333333333333334,0.019512490877979318,225,0.06030150753768844,0.0330318257956449,54.77777777777779
MedPathAgent-LLaMA,gender_swap,VISIT,0.09333333333333334,0.01897591941425716,225,0.05025125628140704,0.0430820770519263,85.73333333333333
MedPathAgent-LLaMA,summary,MANAGE,0.12650602409638553,0.0251774684325996,166,0.36036036036036034,-0.2338543362639748,-64.89457831325302
MedPathAgent-LLaMA,summary,RESOURCE,0.14457831325301204,0.02856575739334153,166,0.3783783783783784,-0.23380006512536636,-61.79001721170396
MedPathAgent-LLaMA,summary,VISIT,0.13855421686746988,0.026989802104272976,166,0.43243243243243246,-0.2938782155649626,-67.9593373493976
MedPathAgent-LLaMA,uncertain_tone,MANAGE,0.1111111111111111,0.021274683030870045,225,0.15,-0.03888888888888889,-25.92592592592593
MedPathAgent-LLaMA,uncertain_tone,RESOURCE,0.1111111111111111,0.021017436013157847,225,0.16,-0.0488888888888889,-30.555555555555564
MedPathAgent-LLaMA,uncertain_tone,VISIT,0.12,0.021809128988637887,225,0.12,0.0,0.0
deepseek,colorful_tone,MANAGE,0.2857142857142857,0.12079690771423533,14,0.12,0.1657142857142857,138.0952380952381
deepseek,colorful_tone,RESOURCE,0.0,0.0,4,0.12,-0.12,-100.0
deepseek,colorful_tone,VISIT,0.25,0.15416210122287985,8,0.09,0.16,177.7777777777778
deepseek,gender_removal,MANAGE,0.12195121951219512,0.05149735312543378,41,0.08,0.04195121951219512,52.439024390243894
deepseek,gender_removal,RESOURCE,0.0,0.0,5,0.085,-0.085,-100.0
deepseek,gender_removal,VISIT,0.125,0.11515293178073105,8,0.03,0.095,316.6666666666667
deepseek,gender_swap,MANAGE,0.031746031746031744,0.02245331079210429,63,0.09045226130653267,-0.05870622956050092,-64.90299823633158
deepseek,gender_swap,RESOURCE,0.0,,1,0.06030150753768844,-0.06030150753768844,-100.0
deepseek,gender_swap,VISIT,0.25,0.21535741528054317,4,0.05025125628140704,0.19974874371859297,397.5
deepseek,summary,MANAGE,0.5081967213114754,0.0647936911238737,61,0.36036036036036034,0.14783636095111508,41.02459016393444
deepseek,summary,VISIT,0.375,0.16796025764492073,8,0.43243243243243246,-0.057432432432432456,-13.281250000000005
deepseek,uncertain_tone,MANAGE,0.14285714285714285,0.1336699036932302,7,0.15,-0.007142857142857145,-4.761904761904764
deepseek,uncertain_tone,RESOURCE,0.0,,1,0.16,-0.16,-100.0
deepseek,uncertain_tone,VISIT,0.0,0.0,2,0.12,-0.12,-100.0
medgemma,colorful_tone,MANAGE,0.03076923076923077,0.02040746796573355,65,0.12,-0.08923076923076922,-74.35897435897436
medgemma,colorful_tone,RESOURCE,0.0,0.0,14,0.12,-0.12,-100.0
medgemma,colorful_tone,VISIT,0.14285714285714285,0.07696232743254822,21,0.09,0.05285714285714285,58.730158730158735
medgemma,gender_removal,MANAGE,0.02181818181818182,0.008379517814178629,275,0.08,-0.05818181818181818,-72.72727272727273
medgemma,gender_removal,RESOURCE,0.12121212121212122,0.0415464102345429,66,0.085,0.03621212121212121,42.602495543672006
medgemma,gender_removal,VISIT,0.1271186440677966,0.03114577662452177,118,0.03,0.0971186440677966,323.728813559322
medgemma,gender_swap,MANAGE,0.02197802197802198,0.009035438765119584,273,0.09045226130653267,-0.06847423932851068,-75.7020757020757
medgemma,gender_swap,RESOURCE,0.0821917808219178,0.03146859250066359,73,0.06030150753768844,0.021890273284229364,36.3013698630137
medgemma,gender_swap,VISIT,0.09243697478991597,0.02781472845787938,119,0.05025125628140704,0.04218571850850893,83.94957983193278
medgemma,summary,MANAGE,0.5194508009153318,0.017063712112771117,874,0.36036036036036034,0.15909044055497146,44.14759725400458
medgemma,summary,RESOURCE,0.33133971291866027,0.015842187468462443,836,0.3783783783783784,-0.04703866545971813,-12.431647300068363
medgemma,summary,VISIT,0.466824644549763,0.017164281295790156,844,0.43243243243243246,0.03439221211733057,7.953199052132693
medgemma,uncertain_tone,MANAGE,0.027777777777777776,0.019278646903027108,72,0.15,-0.12222222222222222,-81.48148148148148
medgemma,uncertain_tone,RESOURCE,0.13333333333333333,0.08703162294408377,15,0.16,-0.026666666666666672,-16.666666666666668
medgemma,uncertain_tone,VISIT,0.08333333333333333,0.05786365326382101,24,0.12,-0.03666666666666667,-30.555555555555557
qwen,colorful_tone,MANAGE,0.15950920245398773,0.02892848847327741,163,0.12,0.03950920245398773,32.92433537832311
qwen,colorful_tone,RESOURCE,0.17177914110429449,0.029758332192496472,163,0.12,0.05177914110429449,43.14928425357875
qwen,colorful_tone,VISIT,0.17791411042944785,0.030653345203570458,163,0.09,0.08791411042944786,97.68234492160873
qwen,gender_removal,MANAGE,0.02390852390852391,0.005012581009303545,962,0.08,-0.05609147609147609,-70.11434511434511
qwen,gender_removal,RESOURCE,0.02494802494802495,0.004933749547679872,962,0.085,-0.06005197505197506,-70.64938241408831
qwen,gender_removal,VISIT,0.030145530145530147,0.005599439649811121,962,0.03,0.00014553014553014831,0.4851004851004944
qwen,gender_swap,MANAGE,0.018410852713178296,0.004028598051264173,1032,0.09045226130653267,-0.07204140859335437,-79.64577950043066
qwen,gender_swap,RESOURCE,0.018410852713178296,0.004155740717783237,1032,0.06030150753768844,-0.04189065482451014,-69.46866925064599
qwen,gender_swap,VISIT,0.02131782945736434,0.004308624043250894,1032,0.05025125628140704,-0.028933426824042697,-57.577519379844965
qwen,summary,MANAGE,0.37163561076604557,0.01585565439895275,966,0.36036036036036034,0.011275250405685222,3.1288819875776497
qwen,summary,RESOURCE,0.36335403726708076,0.015278423889862818,966,0.3783783783783784,-0.015024341111297634,-3.970718722271518
qwen,summary,VISIT,0.4192546583850932,0.016125818580380518,966,0.43243243243243246,-0.013177774047339275,-3.047360248447207
qwen,uncertain_tone,MANAGE,0.10909090909090909,0.023474956257160343,165,0.15,-0.04090909090909091,-27.272727272727277
qwen,uncertain_tone,RESOURCE,0.10303030303030303,0.023298515776038007,165,0.16,-0.056969696969696976,-35.60606060606061
qwen,uncertain_tone,VISIT,0.10303030303030303,0.02255505350087665,165,0.12,-0.016969696969696968,-14.14141414141414
